"","x"
"1",2.671
"2",2.718
"3",2.506
"4",2.726
"5",2.82
"6",2.938
"7",2.768
"8",2.919
"9",2.779
"10",2.705
"11",2.692
"12",2.711
"13",2.85
"14",2.847
"15",2.666
"16",2.717
"17",2.824
"18",2.621
"19",2.767
"20",2.833
"21",2.943
"22",2.891
"23",2.964
"24",2.948
"25",2.921
"26",2.801
"27",2.988
"28",2.841
"29",2.866
"30",2.99
"31",2.881
"32",2.755
"33",2.791
"34",2.788
"35",2.82
"36",2.766
"37",2.799
"38",2.69
"39",2.744
"40",2.74
"41",2.657
"42",2.839
"43",2.875
"44",2.854
"45",2.823
"46",2.74
"47",2.717
"48",2.824
"49",2.626
"50",2.711
"51",2.772
"52",2.734
"53",2.775
"54",2.855
"55",2.876
"56",2.769
"57",2.85
"58",2.834
"59",2.665
"60",2.906
"61",2.622
"62",2.693
"63",2.887
"64",2.719
"65",2.781
"66",2.855
"67",2.775
"68",2.757
"69",2.731
"70",2.774
"71",2.739
"72",2.689
"73",2.964
"74",2.781
"75",2.762
"76",2.784
"77",2.729
"78",2.901
"79",2.749
"80",2.858
"81",3.11
"82",2.803
"83",2.803
"84",2.874
"85",2.877
"86",2.743
"87",2.813
"88",2.642
"89",2.753
"90",2.882
"91",2.558
"92",2.747
