"","x"
"1",2.962
"2",3.05
"3",3.012
"4",2.951
"5",3.045
"6",3.113
"7",3.059
"8",3.155
"9",3.11
"10",3.005
"11",3.147
"12",3.021
"13",3.153
"14",3.052
"15",3.034
"16",3.108
"17",3.173
"18",3.162
"19",3.168
"20",3.062
"21",3.056
"22",3.048
"23",3.107
"24",3.062
"25",3.013
"26",3.166
"27",2.994
"28",3.035
"29",3.062
"30",3.102
"31",3.02
"32",3.092
"33",3.078
"34",3.129
"35",3.134
"36",3.204
"37",3.053
"38",3.167
"39",3.098
"40",3.147
"41",3.083
"42",3.088
"43",3.059
"44",3.192
"45",3.038
"46",3.152
"47",3.128
"48",3.083
"49",3.085
"50",3.161
"51",3.057
"52",3.125
"53",3.126
"54",3.036
"55",3.007
"56",3.106
"57",3.131
"58",3.101
"59",3.074
"60",3.129
"61",3.055
"62",3.043
"63",3.15
"64",3.107
"65",3.115
"66",2.987
"67",3.169
"68",3.194
"69",3.143
"70",3.112
"71",3.056
"72",3.157
"73",3.073
"74",3.102
"75",3.059
"76",3.113
"77",3.111
"78",3.136
"79",3.073
"80",3.127
"81",3.097
"82",3.224
"83",3.128
"84",3.149
"85",3.135
"86",3.119
"87",3.115
"88",3.152
"89",3.107
"90",3.091
"91",3.036
"92",3.141
"93",3.153
"94",3.163
"95",3.141
"96",3.098
"97",3.06
"98",3.173
"99",3.108
"100",3.061
"101",3.09
"102",3.159
"103",3.028
"104",3.059
"105",3.051
"106",3.139
"107",3.078
"108",3.123
"109",3.108
"110",3.085
"111",3.106
"112",3.039
"113",3.067
"114",3.019
"115",3.066
"116",3.063
"117",3.041
"118",3.018
"119",3.018
"120",3.137
"121",3.035
"122",3.098
"123",3.104
"124",3.048
"125",3.058
"126",3.106
"127",2.976
"128",3.157
"129",3.004
"130",3.089
"131",3.043
"132",3.022
"133",3.086
"134",3.052
"135",2.989
"136",3.093
"137",2.85
"138",3.054
"139",2.951
"140",3.055
"141",3.084
"142",3.022
"143",3.014
"144",3.069
"145",2.994
"146",3.122
"147",3.032
"148",2.974
"149",2.935
"150",3.083
"151",2.99
"152",3.078
"153",2.95
"154",3.008
"155",2.987
"156",3.013
"157",2.95
"158",3.004
"159",2.938
"160",3.047
"161",2.943
"162",3.002
"163",2.982
"164",2.951
"165",2.971
"166",3.051
"167",3.023
"168",2.97
"169",2.914
"170",3.015
"171",2.991
"172",2.966
"173",3.064
"174",3.012
"175",3.025
"176",3.024
"177",3.015
"178",3.009
"179",3.005
"180",3.12
"181",3.082
"182",3.033
"183",2.945
"184",2.973
"185",3.159
