"","x"
"1",2.742
"2",2.781
"3",2.719
"4",2.981
"5",2.777
"6",2.825
"7",2.759
"8",2.885
"9",2.785
"10",2.803
"11",2.825
"12",2.874
"13",2.813
"14",2.761
"15",2.588
"16",2.642
"17",2.763
"18",2.787
"19",2.809
"20",2.76
"21",2.734
"22",2.75
"23",2.87
"24",2.703
"25",2.762
"26",2.706
"27",2.768
"28",2.877
"29",2.812
"30",2.822
"31",2.768
"32",2.681
"33",2.83
"34",2.638
"35",2.657
"36",2.716
"37",2.736
"38",2.764
"39",2.64
"40",2.701
"41",2.698
"42",2.778
"43",2.747
"44",2.799
"45",2.741
"46",2.647
"47",2.648
"48",2.733
