"","x"
"1",2.858
"2",2.466
"3",2.763
"4",2.875
"5",2.892
"6",2.803
"7",2.87
"8",2.824
"9",2.73
"10",2.816
"11",2.722
"12",2.648
"13",2.707
"14",2.881
"15",2.529
"16",2.807
"17",2.787
"18",2.756
"19",2.592
"20",2.995
"21",2.771
"22",2.759
"23",2.744
"24",2.787
"25",2.859
"26",2.769
"27",2.718
"28",2.602
"29",2.766
"30",2.728
"31",2.73
"32",2.651
