"","x"
"1",2.867
"2",2.677
"3",2.833
"4",2.652
"5",2.779
"6",2.887
"7",2.832
"8",2.755
"9",2.915
"10",2.77
"11",2.921
"12",2.698
"13",2.876
"14",2.776
"15",2.932
"16",2.664
"17",2.926
"18",2.778
"19",2.943
"20",2.809
"21",2.715
"22",2.854
"23",2.483
"24",2.957
"25",2.831
"26",2.855
"27",2.835
"28",2.833
"29",2.883
"30",2.914
"31",2.794
"32",2.76
"33",2.771
"34",2.892
"35",2.71
"36",2.622
"37",2.791
"38",2.749
"39",2.825
"40",2.728
"41",2.882
"42",2.662
"43",2.757
"44",2.647
"45",2.775
"46",2.775
"47",2.733
"48",2.809
"49",2.605
"50",2.648
"51",2.776
"52",2.591
"53",2.554
"54",2.634
"55",2.681
"56",2.622
"57",2.826
"58",2.602
"59",2.614
"60",2.688
"61",2.652
"62",2.654
"63",2.687
"64",2.685
"65",2.672
