"","x"
"1",2.689
"2",2.705
"3",2.741
"4",2.771
"5",2.746
"6",2.791
"7",2.803
"8",2.611
"9",2.729
"10",2.7
"11",2.705
"12",2.694
"13",2.624
"14",2.738
"15",2.715
"16",2.626
"17",2.581
"18",2.654
"19",2.683
"20",2.641
"21",2.693
"22",2.625
"23",2.64
"24",2.615
"25",2.598
"26",2.716
"27",2.714
"28",2.665
"29",2.538
"30",2.674
"31",2.641
"32",2.753
"33",2.776
"34",2.534
"35",2.693
"36",2.551
"37",2.53
"38",2.633
"39",2.699
"40",2.695
"41",2.626
"42",2.676
"43",2.698
"44",2.57
"45",2.665
"46",2.701
"47",2.652
"48",2.722
"49",2.691
"50",2.657
"51",2.707
"52",2.546
"53",2.654
"54",2.676
"55",2.648
"56",2.535
"57",2.613
"58",2.7
"59",2.62
"60",2.529
