"","x"
"1",2.711
"2",2.57
"3",2.788
"4",2.877
"5",2.888
"6",2.769
"7",2.836
"8",2.819
"9",2.756
"10",2.889
"11",2.872
"12",2.91
"13",2.865
"14",2.883
"15",2.72
"16",2.752
"17",2.839
"18",2.768
"19",2.8
"20",2.718
"21",2.792
"22",2.762
"23",2.741
"24",2.734
"25",2.849
"26",2.807
"27",2.836
"28",2.753
"29",2.8
"30",2.788
"31",2.8
"32",2.776
"33",2.872
"34",2.936
"35",2.673
"36",2.49
"37",2.681
"38",2.734
"39",2.825
"40",2.77
"41",2.76
"42",2.763
"43",2.762
"44",2.715
"45",2.74
"46",2.582
"47",2.76
"48",2.485
"49",2.625
"50",2.76
"51",2.681
"52",2.747
"53",2.736
